knowledge_id,cell,service,capability,application,generation_policy,usage_instruction,taxonomy_statuses,notes,source_relation_ids,document_ids,retrieval_key
KB-IPR-001,INFRA PÚBLICA RESILIENTE,Asesoría a Inspección Fiscal,Sistema de gestión de calidad ISO 9001:2015 para elaboración de informes de inspección técnica,Obra en construcción / instalación de equipamiento,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,La aplicación “obra pública” fue retirada por auditoría.,R0020,DOC-01,INFRA PÚBLICA RESILIENTE > Asesoría a Inspección Fiscal > Sistema de gestión de calidad ISO 9001:2015 para elaboración de informes de inspección técnica > Obra en construcción / instalación de equipamiento
KB-IPR-002,INFRA PÚBLICA RESILIENTE,Estudios de falla de componentes,Peritaje de componentes metálicos,Pavimento de autopistas,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,,R0028,DOC-01,INFRA PÚBLICA RESILIENTE > Estudios de falla de componentes > Peritaje de componentes metálicos > Pavimento de autopistas
KB-IPR-003,INFRA PÚBLICA RESILIENTE,Laboratorio en obra,Ensayos de materiales en terreno,Terminal aeroportuario,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,,R0036,DOC-01,INFRA PÚBLICA RESILIENTE > Laboratorio en obra > Ensayos de materiales en terreno > Terminal aeroportuario
KB-IPR-004,INFRA PÚBLICA RESILIENTE,Laboratorio en obra,Laboratorio permanente en faena,Infraestructura pública,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,,R0064 | R0219,DOC-04 | DOC-29,INFRA PÚBLICA RESILIENTE > Laboratorio en obra > Laboratorio permanente en faena > Infraestructura pública
KB-IPR-005,INFRA PÚBLICA RESILIENTE,Evaluación de capacidad de carga de puentes,Modelación por elementos finitos y topografía de trazado,Puente vial,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,,R0039,DOC-01,INFRA PÚBLICA RESILIENTE > Evaluación de capacidad de carga de puentes > Modelación por elementos finitos y topografía de trazado > Puente vial
KB-IPR-006,INFRA PÚBLICA RESILIENTE,Estudios y peritajes contractuales,Peritaje de controversias contractuales,Contratos públicos,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,No se generaliza a “Sistema de concesiones”.,R0113,DOC-14,INFRA PÚBLICA RESILIENTE > Estudios y peritajes contractuales > Peritaje de controversias contractuales > Contratos públicos
KB-IPR-007,INFRA PÚBLICA RESILIENTE,Estudios y peritajes contractuales,Soporte ante el Panel Técnico de Concesiones,Panel Técnico de Concesiones,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,No se generaliza a “Sistema de concesiones”.,R0114,DOC-14,INFRA PÚBLICA RESILIENTE > Estudios y peritajes contractuales > Soporte ante el Panel Técnico de Concesiones > Panel Técnico de Concesiones
KB-IPR-008,INFRA PÚBLICA RESILIENTE,Asesoría a mandantes públicos,Acompañamiento del ciclo completo de proyecto público,Proyectos del sector público,USE_FACTUAL,"Puede usarse como conocimiento técnico factual, respetando literalmente el alcance respaldado por la evidencia.",VALIDADO_2A1B,,R0124,DOC-17,INFRA PÚBLICA RESILIENTE > Asesoría a mandantes públicos > Acompañamiento del ciclo completo de proyecto público > Proyectos del sector público
KB-IPR-009,INFRA PÚBLICA RESILIENTE,Sustentabilidad,CES / GREEN HOSPITAL / LEED,Sector público,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,Se conservan como nombres/referencias; no se afirma que los tres sean certificaciones.,R0126,DOC-17,INFRA PÚBLICA RESILIENTE > Sustentabilidad > CES / GREEN HOSPITAL / LEED > Sector público
KB-IPR-010,INFRA PÚBLICA RESILIENTE,Ingeniería contractual,Diagnóstico contractual,Obras públicas,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,"“Servicios Ágiles” se conserva como etiqueta editorial, no como nivel taxonómico.",R0137 | R0148,DOC-18 | DOC-20,INFRA PÚBLICA RESILIENTE > Ingeniería contractual > Diagnóstico contractual > Obras públicas
KB-IPR-011,INFRA PÚBLICA RESILIENTE,Ingeniería contractual,Análisis de prefactibilidad de un reclamo,Obras públicas,USE_AUDITED_CORRECTION,Usar únicamente la versión corregida/normalizada por la auditoría 2A.1B; no reutilizar la normalización anterior.,NORMALIZADO_SEGUN_AUDITORIA,"“Servicios Ágiles” se conserva como etiqueta editorial, no como nivel taxonómico.",R0137 | R0148,DOC-18 | DOC-20,INFRA PÚBLICA RESILIENTE > Ingeniería contractual > Análisis de prefactibilidad de un reclamo > Obras públicas
