relacion_id,documento_id,nombre_archivo,celula,nivel_relacion,servicio_termino_fuente,servicio_normalizado_propuesto,capacidad_termino_fuente,capacidad_normalizada_propuesta,aplicacion_termino_fuente,aplicacion_normalizada_propuesta,tema_editorial_derivado,pagina_fuente,seccion_fuente,evidencia,estado_revision,observaciones,origen_relacion_2A1B,resultado_auditoria_2A1B,estado_uso_2A1B,normalizacion_2A1B_estado,servicio_normalizado_validado_2A1B,capacidad_normalizada_validada_2A1B,aplicacion_normalizada_validada_2A1B,evidencia_verificada_2A1B,correccion_propuesta_2A1B,motivo_auditoria_2A1B,requiere_decision_usuario_2A1B,celula_validada_2A1B,estado_celula_2A1B,usar_como_evidencia_automatica_2A1B,grupo_documental_2A1B,fuente_independiente_2A1B,celula_2A2,estado_celula_2A2,criterio_asignacion_2A2,justificacion_celula_2A2,cambio_celula_vs_2A1B,requiere_revision_manual_celula_2A2,fecha_cierre_2A2
R0001,DOC-01,Brochure Idiem infraestructura VF.pdf,INFRA PÚBLICA RESILIENTE,COMPLEMENTARIA,Servicios en la fase de diseño,Servicios de ingeniería en etapa de diseño,estudios de ingeniería geotécnica,Estudios geotécnicos,zonas de emplazamiento de la infraestructura,Emplazamiento de infraestructura,DERIVADO: prevención temprana,4,Servicios en la fase de diseño,"Cita literal p.4: 'tenemos la capacidad de efectuar levantamientos topográficos, geodésicos y diversos estudios de ingeniería geotécnica'. Célula inferida por dominio de obra pública/infraestructura nacional (p.3).",OK,Célula asignada por inferencia temática; el documento no nombra células.,MAPA_2A1_ORIGINAL,CORRECTO_Y_VERIFICABLE,APTO_FACTUAL,ACEPTADA,Servicios de ingeniería en etapa de diseño,Estudios geotécnicos,Emplazamiento de infraestructura,"La fuente declara levantamientos topográficos y geodésicos y diversos estudios de ingeniería geotécnica, incluyendo caracterización de suelos/rocas, fundaciones, mecánica de suelos, estabilidad, peligros naturales y geología en zonas de emplazamiento de infraestructura.",Mantener la relación factual. La asignación a célula se resolverá en 2A.2.,"Servicio, capacidad y aplicación a emplazamiento de infraestructura están explícitos.",NO,,PENDIENTE_2A2,SI,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0002,DOC-01,Brochure Idiem infraestructura VF.pdf,INFRA PÚBLICA RESILIENTE,PRINCIPAL,mitigación de riesgos naturales,Mitigación de riesgos naturales,detección temprana de amenazas relacionadas con factores ambientales,Detección temprana de amenazas ambientales,proyectos de infraestructura ubicados en zonas geográficas potencialmente riesgosas,Infraestructura en zonas de riesgo,DERIVADO: resiliencia,4,Servicios en la fase de diseño,Cita literal p.4: 'contamos con experiencia en la mitigación de riesgos naturales... enfocados en proyectos de infraestructura ubicados en zonas geográficas potencialmente riesgosas'.,OK,Sección desarrollada explícitamente; base para resiliencia.,MAPA_2A1_ORIGINAL,CORRECTO_Y_VERIFICABLE,APTO_FACTUAL,ACEPTADA,Mitigación de riesgos naturales,Detección temprana de amenazas ambientales,Infraestructura en zonas de riesgo,La fuente declara experiencia en mitigación de riesgos naturales y estudios para detección temprana de amenazas ambientales en proyectos de infraestructura ubicados en zonas geográficas potencialmente riesgosas.,Mantener la relación.,"Servicio, objetivo y aplicación están explícitos.",NO,,PENDIENTE_2A2,SI,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0003,DOC-01,Brochure Idiem infraestructura VF.pdf,INFRA PÚBLICA RESILIENTE,COMPLEMENTARIA,revisión integral de proyectos,Revisión integral de proyectos,verificar el cumplimiento de la normativa y de las bases de diseño,Verificación normativa de diseño,"estructura, aceros, hormigones y suelos... incendios, eléctrica, sanitaria, ascensores y climatización",Especialidades de proyecto,DERIVADO: cumplimiento normativo,4,Servicios en la fase de diseño,"Cita literal p.4: 'realizamos la revisión integral de proyectos lo que considera la estructura, aceros, hormigones y suelos, además de especialidades como incendios, eléctrica, sanitaria, ascensores y climatización'.",OK,,MAPA_2A1_ORIGINAL,CORRECTO_Y_VERIFICABLE,APTO_FACTUAL,ACEPTADA,Revisión integral de proyectos,Verificación normativa de diseño,Especialidades de proyecto,"La fuente declara revisión integral de proyectos, incluyendo estructura, aceros, hormigones, suelos, incendios, electricidad, sanitaria, ascensores y climatización, para verificar normativa y bases de diseño.",Mantener la relación.,El alcance multidisciplinario y la finalidad de verificación están explícitos.,NO,,PENDIENTE_2A2,SI,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0004,DOC-01,Brochure Idiem infraestructura VF.pdf,REQUIERE REVISIÓN,REQUIERE REVISIÓN,tecnología del hormigón,Tecnología del hormigón,Estudio de dosificaciones,Diseño de dosificaciones,NO IDENTIFICADO,NO IDENTIFICADO,DERIVADO: confiabilidad de materiales,5,Tecnología del hormigón,Cita literal p.5 (viñeta): 'Estudio de dosificaciones'. El documento no vincula esta capacidad a un tipo de infraestructura específico.,REQUIERE REVISIÓN,Capacidad transversal sin aplicación declarada; no se fuerza célula.,MAPA_2A1_ORIGINAL,CORRECTO_Y_VERIFICABLE,APTO_FACTUAL,ACEPTADA,Tecnología del hormigón,Diseño de dosificaciones,NO IDENTIFICADO,La fuente enumera literalmente 'Estudio de dosificaciones' dentro de Tecnología del hormigón.,"Mantener como capacidad de Tecnología del hormigón, sin sector de aplicación inferido.",La capacidad está explícita y el mapa conserva correctamente la ausencia de aplicación.,NO,,PENDIENTE_2A2,SI,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0005,DOC-01,Brochure Idiem infraestructura VF.pdf,INFRA OPERACIÓN MINERA,COMPLEMENTARIA,tecnología del hormigón,Tecnología del hormigón,Asesoría en tecnología del shotcrete,Asesoría en shotcrete,NO IDENTIFICADO,NO IDENTIFICADO,DERIVADO: continuidad operacional,5,Tecnología del hormigón,Cita literal p.5 (viñeta): 'Asesoría en tecnología del shotcrete'. Vínculo con minería inferido por co-ocurrencia con 'túneles mineros' en la misma sección (p.5).,REQUIERE REVISIÓN,Inferencia de célula débil: el shotcrete no está atribuido explícitamente a minería en esta página.,MAPA_2A1_ORIGINAL,CORRECTO_CON_MATIZ,APTO_CON_MATIZ,ACEPTADA_CON_MATIZ,Tecnología del hormigón,Asesoría en shotcrete,NO IDENTIFICADO,La fuente enumera literalmente 'Asesoría en tecnología del shotcrete' dentro de Tecnología del hormigón.,Mantener la capacidad y la ausencia de aplicación sectorial. No usar la co-ocurrencia con 'túneles mineros' de otra viñeta para atribuir el shotcrete a minería.,La prestación es verificable; el vínculo minero corresponde solo a la célula inferida y no al texto de esta capacidad.,SI,,PENDIENTE_2A2,NO,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0006,DOC-01,Brochure Idiem infraestructura VF.pdf,INFRA OPERACIÓN MINERA,COMPLEMENTARIA,tecnología del hormigón,Tecnología del hormigón,"Evaluación de materias primas alternativas (escorias, relaves, material de excavación de túneles mineros, etc.)",Valorización de materiales alternativos,"relaves, material de excavación de túneles mineros",Relaves y marina de túnel minero,DERIVADO: economía circular,5,Tecnología del hormigón,"Cita literal p.5 (viñeta): 'Evaluación de materias primas alternativas (escorias, relaves, material de excavación de túneles mineros, etc.) para el diseño y confección de hormigones'.",OK,Evidencia explícita de aplicación minera.,MAPA_2A1_ORIGINAL,CORRECCION_NECESARIA,NO_USAR_NORMALIZACION_ACTUAL,REEMPLAZAR_SEGUN_AUDITORIA,,,,"La fuente declara 'Evaluación de materias primas alternativas (escorias, relaves, material de excavación de túneles mineros, etc.) para el diseño y confección de hormigones'.","Cambiar 'Valorización de materiales alternativos' por una normalización que conserve 'Evaluación de materias primas alternativas'. Usar 'material de excavación de túneles mineros', no 'marina de túnel minero', salvo fuente adicional.","La normalización actual introduce 'valorización' y 'marina', términos no usados por la fuente.",NO,,PENDIENTE_2A2,NO,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0007,DOC-01,Brochure Idiem infraestructura VF.pdf,REQUIERE REVISIÓN,COMPLEMENTARIA,tecnología del hormigón,Tecnología del hormigón,Inspección de plantas de hormigón y evaluación de conformidad,Inspección y certificación de plantas de hormigón,plantas de hormigón,Plantas de hormigón,DERIVADO: cumplimiento normativo,5,Tecnología del hormigón,Cita literal p.5 (viñeta): 'Inspección de plantas de hormigón y evaluación de conformidad'.,REQUIERE REVISIÓN,Servicio transversal a varias células; sin evidencia para asignar una.,MAPA_2A1_ORIGINAL,CORRECCION_NECESARIA,NO_USAR_NORMALIZACION_ACTUAL,REEMPLAZAR_SEGUN_AUDITORIA,,,,La fuente enumera 'Inspección de plantas de hormigón y evaluación de conformidad'.,Normalizar como 'Inspección de plantas de hormigón y evaluación de conformidad'; no convertirlo en 'Inspección y certificación de plantas de hormigón'.,La palabra 'certificación' no aparece en esta prestación y cambia el alcance.,NO,,PENDIENTE_2A2,NO,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0008,DOC-01,Brochure Idiem infraestructura VF.pdf,REQUIERE REVISIÓN,COMPLEMENTARIA,certificación de casi toda la producción nacional de cemento,Certificación de cemento,NO IDENTIFICADO,NO IDENTIFICADO,cemento,Cemento,DERIVADO: cumplimiento normativo,5,Tecnología del hormigón,"Cita literal p.5: 'IDIEM realiza la certificación de casi toda la producción nacional de cemento, materia prima que constituye la base del hormigón'.",REQUIERE REVISIÓN,Afirmación de cobertura de mercado sin fuente citada en el propio documento.,MAPA_2A1_ORIGINAL,CORRECTO_CON_MATIZ,APTO_CON_MATIZ,ACEPTADA_CON_MATIZ,Certificación de cemento,NO IDENTIFICADO,Cemento,La fuente afirma que IDIEM realiza la certificación de casi toda la producción nacional de cemento.,Mantener 'Certificación de cemento' como capacidad. Tratar 'casi toda la producción nacional' como claim de cobertura de mercado pendiente de validación externa.,"La existencia de la prestación está respaldada, pero la magnitud de participación de mercado no tiene fuente citada.",SI,,PENDIENTE_2A2,NO,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0009,DOC-01,Brochure Idiem infraestructura VF.pdf,REQUIERE REVISIÓN,COMPLEMENTARIA,coordinación 3D – BIM (Building Information Modelling),Coordinación BIM,"anticipar la construcción antes de su ejecución, visualizando zonas complejas",Detección de interferencias en modelo,"interferencias, inconsistencias y otros problemas de coordinación",Coordinación de proyecto,DERIVADO: digitalización,5,Etapa de diseño / tecnología,"Cita literal p.5: 'por medio de la coordinación 3D – BIM (Building Information Modelling), podemos anticipar la construcción antes de su ejecución'.",REQUIERE REVISIÓN,Candidata a LAB MINERO DIGITAL solo si esa célula cubre digitalización no minera; ver 04_revision_manual.,MAPA_2A1_ORIGINAL,CORRECTO_Y_VERIFICABLE,APTO_FACTUAL,ACEPTADA,Coordinación BIM,Detección de interferencias en modelo,Coordinación de proyecto,"La fuente declara coordinación 3D-BIM para anticipar la construcción, visualizar zonas complejas y adelantar soluciones sobre interferencias, inconsistencias y problemas de coordinación.",Mantener la relación; dejar cualquier asignación de célula digital para 2A.2.,La capacidad y el objetivo de coordinación están explícitos.,NO,,PENDIENTE_2A2,SI,,SI,,SIN_CELULA_PRIORIZADA,FUERA_ALCANCE_O_SIN_APLICACION_SECTORIAL,"Relación válida, pero sin aplicación explícita suficiente a una de las cinco células priorizadas o correspondiente a un ámbito transversal/no priorizado.",FUERA_DE_CELULAS_PRIORIZADAS,NO,2026-08-17
R0010,DOC-01,Brochure Idiem infraestructura VF.pdf,INFRA OPERACIÓN MINERA,PRINCIPAL,monitoreo geotécnico,Monitoreo geotécnico,proyectos de instrumentación de tranques de relaves para su monitoreo a distancia,Instrumentación y monitoreo remoto de depósitos de relaves,tranques de relaves,Depósitos de relaves,DERIVADO: seguridad de activos críticos,6,Trabajos en terreno / monitoreo geotécnico,"Cita literal p.6: 'desarrollado diversos proyectos de instrumentación de tranques de relaves para su monitoreo a distancia, con el fin de evaluar y resguardar de manera permanente la seguridad de dichas estructuras'.",OK,Aplicación minera explícita.,MAPA_2A1_ORIGINAL,CORRECTO_Y_VERIFICABLE,APTO_FACTUAL,ACEPTADA,Monitoreo geotécnico,Instrumentación y monitoreo remoto de depósitos de relaves,Depósitos de relaves,La fuente declara proyectos de instrumentación de tranques de relaves para monitoreo a distancia orientado a evaluar y resguardar permanentemente la seguridad de las estructuras.,Mantener la relación factual y la aplicación a tranques de relaves.,La aplicación minera y el monitoreo remoto están explícitos.,NO,,PENDIENTE_2A2,SI,,SI,INFRA OPERACIÓN MINERA,ASIGNADA_2A2,INTEGRIDAD_INGENIERIA_CONTINUIDAD_MINERIA,"Servicio de integridad, monitoreo, ingeniería, diagnóstico, confiabilidad, continuidad o soporte técnico de activos/operación minera.",SIN_CAMBIO,NO,2026-08-17
