id,nombre,cargo,carpeta_id,carpeta_url,foto_principal_id,notas
EXP-01,Juan Guzmán,,1DgQupMBfnWKHUR-_n69Jmad6lxZflpWY,https://drive.google.com/drive/folders/1DgQupMBfnWKHUR-_n69Jmad6lxZflpWY,1kIDYZTwhSq20L9tyfj2Vte4rI80kiTLf,cargo por completar; 3 fotos en la carpeta
EXP-02,Carlos Bustos,,1SJfTFxNngNL7QJsLtomZU3GL_QgdpQm1,https://drive.google.com/drive/folders/1SJfTFxNngNL7QJsLtomZU3GL_QgdpQm1,,cargo por completar; fotos en la carpeta
EXP-03,Fernando Yáñez,,1xvnq_Trsquly6AfK-oxxP0X9mzo1nkwM,https://drive.google.com/drive/folders/1xvnq_Trsquly6AfK-oxxP0X9mzo1nkwM,,cargo por completar; fotos en la carpeta
EXP-04,Iván Bejarano,,1sO36Goxb1HbG-ZwO5RXAMGuiPdDADslj,https://drive.google.com/drive/folders/1sO36Goxb1HbG-ZwO5RXAMGuiPdDADslj,,cargo por completar; fotos en la carpeta
EXP-05,Damián Cornejo,,1_tCsTUMXw3iMkst3nu55Y_yzoyAKMS3j,https://drive.google.com/drive/folders/1_tCsTUMXw3iMkst3nu55Y_yzoyAKMS3j,,cargo por completar; fotos en la carpeta
EXP-06,Mauricio Chamín,,1ewvp2QvJcoTKPqr-SMa5I7urcKobeVpP,https://drive.google.com/drive/folders/1ewvp2QvJcoTKPqr-SMa5I7urcKobeVpP,,cargo por completar; fotos en la carpeta
EXP-07,Leonardo Massone,,1609xCueOXkyJqpM4e-JJohN3meIqEl6c,https://drive.google.com/drive/folders/1609xCueOXkyJqpM4e-JJohN3meIqEl6c,,cargo por completar; fotos en la carpeta
EXP-08,David Silva,,1hgKf2XhNNgdBG-HGSMlyMifvmLyUvLeh,https://drive.google.com/drive/folders/1hgKf2XhNNgdBG-HGSMlyMifvmLyUvLeh,,cargo por completar; fotos en la carpeta
EXP-09,Pablo Cárcamo,,1R1-se0EysH1PiC_44IcO9eFPSJtpYAGv,https://drive.google.com/drive/folders/1R1-se0EysH1PiC_44IcO9eFPSJtpYAGv,,cargo por completar; fotos en la carpeta
EXP-10,Marcelo Olivares,,171vK389qAk62rVF5wRlq4MNcuVf0kDN5,https://drive.google.com/drive/folders/171vK389qAk62rVF5wRlq4MNcuVf0kDN5,,cargo por completar; fotos en la carpeta
EXP-11,Perla Veldes,,1KRZxWuRk_-Km057qRnr3y2apHVqrfqkE,https://drive.google.com/drive/folders/1KRZxWuRk_-Km057qRnr3y2apHVqrfqkE,,cargo por completar; fotos en la carpeta
EXP-12,Paula Araneda,"Jefa de la División Tecnologías de la Construcción, IDIEM",15ymW31-wZy25_9QCngN0XlRZ4o3ZTo8X,https://drive.google.com/drive/folders/15ymW31-wZy25_9QCngN0XlRZ4o3ZTo8X,17-9xvf0BFqSbDl1zUZToli-jEG6atqWM,cargo confirmado por el usuario; 3 fotos en la carpeta
