id,archivo,concepto,celulas,subtemas,disciplina,entorno,orientacion,tipo,derechos,personas,consentimiento,fuente,fecha,tags_libres,notas
PHO-0001,ensayo_aceros1.JPG,ensayo-acero;medición,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Inspección y aseguramiento de calidad;Ensayos de especialidades;Confiabilidad de materiales,acero,laboratorio,H,persona,propia,si,no,https://drive.google.com/file/d/1amvDzSYHH5T_3-YLqilt4YpGWpzxdhMq/view,2024-03-21,acero;probeta;medición;EPP,Persona identificable; consentimiento pendiente de confirmar; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0002,ensayo_aceros2.JPG,acero;mecanizado,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Inspección y aseguramiento de calidad;Ensayos de especialidades;Confiabilidad de materiales,acero,laboratorio,H,persona,propia,si,no,https://drive.google.com/file/d/1lMfLcWp2X8eON3uINy-ZRzOHCwt44TPF/view,2024-03-21,acero;mecanizado;equipo;EPP,Persona identificable; consentimiento pendiente de confirmar; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0003,ensayo_aceros3.JPG,ensayo-acero;medición,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Inspección y aseguramiento de calidad;Ensayos de especialidades;Confiabilidad de materiales,acero,laboratorio,H,persona,propia,si,no,https://drive.google.com/file/d/1rX7l9SgFGNUVfasaCXfHhQKXPuEmwCC3/view,2024-03-21,acero;probeta;medición;EPP,Persona identificable; consentimiento pendiente de confirmar; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0004,ensayo_aceros4.JPG,ensayo-acero;medición,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Inspección y aseguramiento de calidad;Ensayos de especialidades;Confiabilidad de materiales,acero,laboratorio,H,persona,propia,si,no,https://drive.google.com/file/d/1Su4l3LAFhtr7S1OQ0SN8QQVjPBUd1K7g/view,2024-03-21,acero;probeta;medición;EPP,Persona identificable; consentimiento pendiente de confirmar; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0005,estructuras_peritajes_Correa_CMDIC1.jpg,correa-minera;estructura,INFRA OPERACIÓN MINERA;LAB MINERO DIGITAL,Monitoreo e integridad estructural;Peritajes e inspección estructural,estructuras,mina,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1Pp2kcyKFbHqGX5Vml0rvxzk5cZzhXDRU/view,2018-11-13,minería;correa-transportadora;estructura-metálica;faena,[Inferencia] LAB MINERO DIGITAL asignada por uso genérico en contexto minero; la imagen no muestra un servicio de laboratorio específico; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0006,estructuras_peritajes_Correa_CMDIC2.jpg,correa-minera;estructura,INFRA OPERACIÓN MINERA;LAB MINERO DIGITAL,Monitoreo e integridad estructural;Peritajes e inspección estructural,estructuras,mina,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1nZgnLH0tvBiBBwfjk-cobT2vXnMlfcv9/view,2018-11-13,minería;correa-transportadora;estructura-metálica;faena,[Inferencia] LAB MINERO DIGITAL asignada por uso genérico en contexto minero; la imagen no muestra un servicio de laboratorio específico; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0007,estructuras_peritajes_analisis_exterior.JPG,inspección-estructural;hormigón,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1ik65YPoHVmWAleF2Ujn8W0VYgIT9YwFw/view,2018-04-18,hormigón;muro;inspección;daño,Persona de espaldas sin identificación facial; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0008,estructuras_peritajes_analisis_terreno.JPG,escaneo-láser;estructura,INFRA OPERACIÓN MINERA,Modelamiento y levantamiento digital;Monitoreo e integridad estructural;Peritajes e inspección estructural,levantamiento,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1U0v0oaWq2nypfKT-REB9FC77Gxegu0Jg/view,2022-03-09,escáner-láser;levantamiento;equipamiento-industrial;estructura,[Inferencia] entorno minero-industrial probable por la infraestructura visible; persona con rostro cubierto y no identificable; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0009,estructuras_peritajes_bodega_san_francisco.JPG,cubierta-colapsada;dron,INFRA PÚBLICA RESILIENTE,Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1IwKVZ-00a9myL8bzJfYVHEV0ecRgpFkj/view,2020-03-20,bodega;colapso;cubierta;dron;daño,[Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0010,estructuras_peritajes_bodega_san_francisco2.jpg,estructura-dañada;inspección,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Ingeniería contra incendios;Peritajes y evaluación estructural;Peritajes e inspección estructural,incendios,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/130vyr5O_uyrG329Jcdelzrt0o2poocKu/view,2020-03-27,estructura-metálica;daño;incendio;bodega,[Inferencia] daño por incendio inferido por carbonización visible; el sector específico no es identificable; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0011,estructuras_peritajes_bodega_san_francisco3.jpg,inspección;estructura-dañada,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Ingeniería contra incendios;Peritajes y evaluación estructural;Peritajes e inspección estructural,incendios,terreno,V,propia_idiem,propia,no,na,https://drive.google.com/file/d/1MtIaB0qlsq-wKri5_sCpA5nUB4hDWtID/view,2020-03-27,inspección;estructura-metálica;daño;trabajadores,[Inferencia] daño por incendio inferido por el estado de la estructura; personas visibles sin rasgos faciales identificables; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0012,estructuras_peritajes_domo_mineria_2.JPG,domo-minero;inspección,INFRA OPERACIÓN MINERA;LAB MINERO DIGITAL,Monitoreo e integridad estructural;Peritajes e inspección estructural,estructuras,mina,V,propia_idiem,propia,no,na,https://drive.google.com/file/d/16uGyWvnrpDdzaDOFCtjllg2MaaeK_XSd/view,2023-03-07,domo;minería;estructura;faena,Fecha tomada de metadato de Drive; persona lejana no identificable; [Inferencia] LAB MINERO DIGITAL asignada por uso genérico en contexto minero; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0013,estructuras_peritajes_domo_mineria_dron.JPG,domo-minero;dron,INFRA OPERACIÓN MINERA;LAB MINERO DIGITAL,Modelamiento y levantamiento digital;Monitoreo e integridad estructural;Peritajes e inspección estructural,levantamiento,mina,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/14Ad1dRP_Dfipr-C88kGtBVJL24KDdMOS/view,2023-03-09,domo;dron;minería;levantamiento;estructura,[Inferencia] LAB MINERO DIGITAL asignada por uso genérico en contexto minero; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0014,estructuras_peritajes_edificio_enel.jpg,edificio-incendiado;peritaje,INFRA PÚBLICA RESILIENTE,Ingeniería contra incendios;Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,incendios,terreno,V,propia_idiem,propia,no,na,https://drive.google.com/file/d/1XGscTFMSOH0VQ2oZs_EiPSRca4blRYaU/view,2019-11-08,edificio;incendio;daño-estructural;peritaje,No se asigna INFRA HOSPITALARIA Y ASISTENCIAL porque no hay elementos visuales que indiquen uso hospitalario; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0015,estructuras_peritajes_edificio_enel2.jpg,edificio-incendiado;peritaje,INFRA PÚBLICA RESILIENTE,Ingeniería contra incendios;Peritajes y evaluación estructural;Diagnóstico técnico de obras ejecutadas,incendios,terreno,V,propia_idiem,propia,no,na,https://drive.google.com/file/d/1Glxtf2YqvRejG1eVF4QvMFru_HbOcouH/view,2019-11-11,edificio;incendio;daño-estructural;peritaje,Fecha tomada de metadato de Drive; no se asigna INFRA HOSPITALARIA Y ASISTENCIAL porque no hay elementos visuales que indiquen uso hospitalario; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0016,estructuras_peritajes_espesador_mina_teniente.JPG,espesador-minero;dron,INFRA OPERACIÓN MINERA;LAB MINERO DIGITAL,Modelamiento y levantamiento digital;Monitoreo e integridad estructural;Peritajes e inspección estructural,estructuras,mina,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1-GmcoU1Z9OlUOhJE7yEjjPNEAidYH70n/view,2019-09-04,espesador;minería;dron;estructura;faena,[Inferencia] LAB MINERO DIGITAL asignada por uso genérico en contexto minero; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
PHO-0017,estructuras_peritajes_estanque_sugal.JPG,planta-industrial;dron,INFRA PÚBLICA RESILIENTE;INFRA OPERACIÓN MINERA,Peritajes y evaluación estructural;Monitoreo e integridad estructural;Peritajes e inspección estructural,estructuras,terreno,H,propia_idiem,propia,no,na,https://drive.google.com/file/d/1VAq0ak9lM6KwyRAznQ2SZhNz3kcGXsru/view,2020-02-06,planta-industrial;estanques;dron;infraestructura,[Inferencia] instalación industrial genérica sin sector identificable; se asigna uso transversal; [Inferencia] derechos propios inferidos por contexto de librería y no verificados documentalmente
